,Filename,Filename_acid,Filename_base,STDBWDistance,BWDistance,Distance3,Energy3,Distance4,Energy4,Distance5,Energy5,Distance6,Energy6,Fraction_vsburied_volume_acid,Fraction_vsburied_volume_base,Fraction_sburied_volume_acid,Fraction_sburied_volume_base,Fraction_mburied_volume_acid,Fraction_mburied_volume_base,Fraction_lburied_volume_acid,Fraction_lburied_volume_base,Frustrated
10,10_31_opt.xyz,10_opt.xyz,31_opt.xyz,1.3191218467123482,4.7634820438139265,1.78542598984376,-139.96591491184,1.7596658683317816,-139.96805992484,4.530703556954561,-140.00385497641,4.888049054063574,-140.0048513661,0.9833419421487604,0.84349173553719,0.9798639145722099,0.7933975778096106,0.9742532032181168,0.7422619934445769,0.9466606876630638,0.6778734159522922,1
11,10_32_opt.xyz,10_opt.xyz,32_opt.xyz,0.24029955382804832,1.6358047247465295,1.6384098493380117,-124.19843186197,1.6341740069811963,-124.19811426429,1.6342782152716904,-124.19813752637,3.86351886475958,-124.16716410905,0.9833419421487604,0.7483212809917356,0.9798639145722099,0.6289393150149759,0.9742532032181168,0.5143865464839095,0.9466606876630638,0.40057771151695865,0
12,10_33_opt.xyz,10_opt.xyz,33_opt.xyz,1.182915679984055,4.605429503191341,1.719076933011237,-136.82200593292,1.757710952276784,-136.81689427304,4.581839851132418,-136.8433201047,4.622431046474628,-136.843842331,0.9833419421487604,0.7910640495867769,0.9798639145722099,0.738409949212137,0.9742532032181168,0.688859505363528,0.9466606876630638,0.6273877189713007,1
13,10_34_opt.xyz,10_opt.xyz,34_opt.xyz,0.7160880219252908,1.653824285695091,1.713400190523246,-128.22337413303,1.6537977624496634,-128.24126661811,3.867635257546781,-128.22200721568,3.951997210721776,-128.22204111461,0.9833419421487604,0.7600723140495868,0.9798639145722099,0.6443221773668446,0.9742532032181168,0.5327119338498212,0.9466606876630638,0.42165369921729406,0
14,10_35_opt.xyz,10_opt.xyz,35_opt.xyz,1.2113980651749936,4.570621316339486,1.8512290860521243,-132.9103978981,1.834938278586339,-132.91153345806,4.62855409871472,-132.9223205985,4.484483543711281,-132.9215543949,0.9833419421487604,0.9129325929752066,0.9798639145722099,0.8239842427399401,0.9742532032181168,0.7018772348033373,0.9466606876630638,0.5628028326500186,1
15,10_36_opt.xyz,10_opt.xyz,36_opt.xyz,0.22971792279004902,1.591484657895615,1.5914621262986726,-124.2839475443,1.591727911244631,-124.28395911802,1.5912618821491906,-124.28394553726,3.992597326964168,-124.24846445158,0.9833419421487604,0.8081095041322314,0.9798639145722099,0.6688370881625212,0.9742532032181168,0.5351329707985697,0.9466606876630638,0.4155271617592248,0
16,10_37_opt.xyz,10_opt.xyz,37_opt.xyz,0.38369599079614297,1.6717719925624384,1.626710430763219,-130.60595813917,1.6279800514313254,-130.60595977051,4.638591058124671,-130.59977558602,4.532102715908684,-130.59856283305,0.9833419421487604,0.8265754132231405,0.9798639145722099,0.7221969006381039,0.9742532032181168,0.6278214392133492,0.9466606876630638,0.5403058609765188,0
17,10_38_opt.xyz,10_opt.xyz,38_opt.xyz,0.46725950729558036,1.6416016932611723,1.6362638368478768,-127.44393249988,1.657002320958168,-127.44118338575,1.6560198248834723,-127.44119898575,4.231042171955297,-127.4177283017,0.9833419421487604,0.5076510847107438,0.9798639145722099,0.4188208100013023,0.9742532032181168,0.3503054231227652,0.9466606876630638,0.2930371785314946,0
18,10_40_opt.xyz,10_opt.xyz,40_opt.xyz,1.213843920033645,4.695644359823632,1.841895740527594,-137.16225491158,1.84113297156718,-137.16225824035,4.599807757101361,-137.18459169302,4.763768841071267,-137.18513568014,0.9833419421487604,0.9486699380165289,0.9798639145722099,0.8623844250553457,0.9742532032181168,0.7227912693682956,0.9466606876630638,0.5540847465523667,1
19,10_41_opt.xyz,10_opt.xyz,41_opt.xyz,0.22834904824372879,1.5813004314500976,1.5814022865056974,-134.06970786602,1.5815651130102646,-134.06964880527,1.5809348333056328,-134.06966952364,4.411048137982855,-134.02278392034,0.9833419421487604,0.8039449896694215,0.9798639145722099,0.6648001041802318,0.9742532032181168,0.5318459475566151,0.9466606876630638,0.41318603242638835,0
20,10_42_opt.xyz,10_opt.xyz,42_opt.xyz,1.2522477260895017,5.073146802276519,1.7345150200801944,-165.9941602561,5.191873206853893,-166.04619002453,5.359081605766725,-166.03943734887,4.96451285716512,-166.04638609565,0.9833419421487604,0.8719331095041323,0.9798639145722099,0.8435831488475062,0.9742532032181168,0.8139991805721096,0.9466606876630638,0.7666499720462169,1
21,10_43_opt.xyz,10_opt.xyz,43_opt.xyz,1.8237287865272696,5.115959522341847,1.6959943847559265,-173.46698145882,1.766034999726244,-173.45248022138,4.977313271787438,-173.50935020442,5.139384973744752,-173.51218379347,0.9833419421487604,0.8839424070247934,0.9798639145722099,0.8520315145201198,0.9742532032181168,0.8206942789034565,0.9466606876630638,0.7763813827804696,1
22,10_44_opt.xyz,10_opt.xyz,44_opt.xyz,0.9573772660358252,4.153253394520647,1.7850589840807236,-132.6588837391,1.8505925371991847,-132.65117313119,4.393869729680632,-132.66145665901,4.409286575360323,-132.66131492592,0.9833419421487604,0.9160963326446281,0.9798639145722099,0.8270770933715328,0.9742532032181168,0.7051083879618594,0.9466606876630638,0.5662621133060007,1
